dt,p_lEE_x,p_lEE_y,p_lEE_z,pdot_lEE_x,pdot_lEE_y,pdot_lEE_z
3.196,0.260443,0.135479,0.520061,0.135182,-0.200978,0.476828
3.197,0.260579,0.135278,0.520539,0.135532,-0.201213,0.478557
3.198,0.260714,0.135077,0.521019,0.135878,-0.20144,0.480279
3.199,0.26085,0.134875,0.5215,0.136221,-0.201659,0.481993
3.2,0.260987,0.134674,0.521983,0.136561,-0.201869,0.483701
3.201,0.261124,0.134472,0.522467,0.136897,-0.202072,0.485401
3.202,0.261261,0.134269,0.522953,0.13723,-0.202266,0.487093
3.203,0.261398,0.134067,0.523441,0.137559,-0.202452,0.488779
3.204,0.261536,0.133864,0.523931,0.137884,-0.20263,0.490457
3.205,0.261674,0.133662,0.524422,0.138206,-0.2028,0.492128
3.206,0.261812,0.133459,0.524915,0.138525,-0.202962,0.493791
3.207,0.261951,0.133256,0.52541,0.13884,-0.203115,0.495447
3.208,0.26209,0.133053,0.525906,0.139151,-0.203261,0.497096
3.209,0.262229,0.132849,0.526404,0.139459,-0.203399,0.498737
3.21,0.262369,0.132646,0.526904,0.139764,-0.203528,0.500372
3.211,0.262509,0.132442,0.527405,0.140065,-0.203649,0.501999
3.212,0.262649,0.132239,0.527908,0.140362,-0.203762,0.503618
3.213,0.262789,0.132035,0.528412,0.140656,-0.203867,0.505231
3.214,0.26293,0.131831,0.528918,0.140947,-0.203964,0.506835
3.215,0.263071,0.131627,0.529426,0.141234,-0.204053,0.508433
3.216,0.263213,0.131423,0.529935,0.141517,-0.204133,0.510024
3.217,0.263354,0.131219,0.530446,0.141797,-0.204206,0.511607
3.218,0.263496,0.131014,0.530958,0.142074,-0.20427,0.513182
3.219,0.263638,0.13081,0.531472,0.142347,-0.204326,0.514751
3.22,0.263781,0.130606,0.531988,0.142616,-0.204375,0.516312
3.221,0.263924,0.130401,0.532505,0.142882,-0.204415,0.517866
3.222,0.264067,0.130197,0.533023,0.143145,-0.204446,0.519412
3.223,0.26421,0.129992,0.533543,0.143404,-0.20447,0.520952
3.224,0.264353,0.129788,0.534065,0.143659,-0.204486,0.522484
3.225,0.264497,0.129583,0.534588,0.143911,-0.204493,0.524008
3.226,0.264641,0.129379,0.535113,0.14416,-0.204493,0.525525
3.227,0.264786,0.129174,0.535639,0.144405,-0.204484,0.527035
3.228,0.26493,0.12897,0.536167,0.144646,-0.204467,0.528538
3.229,0.265075,0.128766,0.536697,0.144884,-0.204442,0.530034
3.23,0.26522,0.128561,0.537227,0.145118,-0.204409,0.531522
3.231,0.265365,0.128357,0.53776,0.145349,-0.204368,0.533002
3.232,0.265511,0.128152,0.538293,0.145577,-0.204319,0.534476
3.233,0.265656,0.127948,0.538829,0.145801,-0.204261,0.535942
3.234,0.265802,0.127744,0.539365,0.146021,-0.204196,0.537401
3.235,0.265948,0.12754,0.539903,0.146238,-0.204122,0.538852
3.236,0.266095,0.127336,0.540443,0.146452,-0.20404,0.540297
3.237,0.266241,0.127132,0.540984,0.146662,-0.20395,0.541734
3.238,0.266388,0.126928,0.541526,0.146868,-0.203852,0.543163
3.239,0.266535,0.126724,0.54207,0.147071,-0.203746,0.544586
3.24,0.266682,0.12652,0.542616,0.14727,-0.203632,0.546001
3.241,0.266829,0.126317,0.543162,0.147466,-0.20351,0.547408
3.242,0.266977,0.126113,0.54371,0.147659,-0.203379,0.548809
3.243,0.267125,0.12591,0.54426,0.147848,-0.20324,0.550202
3.244,0.267273,0.125707,0.544811,0.148033,-0.203094,0.551588
3.245,0.267421,0.125504,0.545363,0.148215,-0.202939,0.552966
3.246,0.267569,0.125301,0.545917,0.148394,-0.202776,0.554337
3.247,0.267718,0.125098,0.546472,0.148569,-0.202605,0.555701
3.248,0.267866,0.124896,0.547028,0.14874,-0.202426,0.557058
3.249,0.268015,0.124693,0.547586,0.148908,-0.202238,0.558407
3.25,0.268164,0.124491,0.548145,0.149072,-0.202043,0.559749
3.251,0.268313,0.124289,0.548705,0.149233,-0.201839,0.561084
3.252,0.268463,0.124087,0.549267,0.149391,-0.201627,0.562411
3.253,0.268612,0.123886,0.54983,0.149545,-0.201408,0.563731
3.254,0.268762,0.123685,0.550395,0.149695,-0.20118,0.565044
3.255,0.268911,0.123484,0.55096,0.149842,-0.200944,0.566349
3.256,0.269061,0.123283,0.551527,0.149985,-0.200699,0.567647
3.257,0.269211,0.123082,0.552096,0.150125,-0.200447,0.568938
3.258,0.269362,0.122882,0.552665,0.150262,-0.200187,0.570221
3.259,0.269512,0.122682,0.553236,0.150395,-0.199918,0.571498
3.26,0.269662,0.122482,0.553808,0.150524,-0.199641,0.572766
3.261,0.269813,0.122283,0.554381,0.15065,-0.199357,0.574028
3.262,0.269964,0.122083,0.554956,0.150772,-0.199064,0.575282
3.263,0.270115,0.121884,0.555532,0.150891,-0.198763,0.576529
3.264,0.270265,0.121686,0.556109,0.151007,-0.198454,0.577769
3.265,0.270417,0.121488,0.556688,0.151118,-0.198136,0.579001
3.266,0.270568,0.12129,0.557267,0.151227,-0.197811,0.580226
3.267,0.270719,0.121092,0.557848,0.151332,-0.197477,0.581444
3.268,0.27087,0.120895,0.55843,0.151433,-0.197136,0.582654
3.269,0.271022,0.120698,0.559013,0.151531,-0.196786,0.583858
3.27,0.271173,0.120501,0.559598,0.151625,-0.196428,0.585053
3.271,0.271325,0.120305,0.560183,0.151716,-0.196062,0.586242
3.272,0.271477,0.120109,0.56077,0.151804,-0.195688,0.587423
3.273,0.271629,0.119913,0.561358,0.151887,-0.195306,0.588597
3.274,0.271781,0.119718,0.561947,0.151968,-0.194915,0.589764
3.275,0.271933,0.119524,0.562538,0.152045,-0.194517,0.590923
3.276,0.272085,0.119329,0.563129,0.152118,-0.19411,0.592075
3.277,0.272237,0.119135,0.563722,0.152188,-0.193696,0.593219
3.278,0.272389,0.118942,0.564316,0.152254,-0.193273,0.594357
3.279,0.272541,0.118749,0.564911,0.152317,-0.192842,0.595487
3.28,0.272694,0.118556,0.565507,0.152377,-0.192403,0.59661
3.281,0.272846,0.118364,0.566104,0.152432,-0.191956,0.597725
3.282,0.272999,0.118172,0.566702,0.152485,-0.1915,0.598833
3.283,0.273151,0.117981,0.567302,0.152534,-0.191037,0.599934
3.284,0.273304,0.11779,0.567902,0.152579,-0.190565,0.601028
3.285,0.273456,0.1176,0.568504,0.152621,-0.190086,0.602114
3.286,0.273609,0.11741,0.569106,0.152659,-0.189598,0.603193
3.287,0.273762,0.117221,0.56971,0.152694,-0.189102,0.604264
3.288,0.273914,0.117032,0.570315,0.152725,-0.188598,0.605329
3.289,0.274067,0.116844,0.570921,0.152753,-0.188086,0.606386
3.29,0.27422,0.116656,0.571528,0.152778,-0.187565,0.607435
3.291,0.274373,0.116468,0.572136,0.152798,-0.187037,0.608478
3.292,0.274525,0.116282,0.572744,0.152816,-0.186501,0.609513
3.293,0.274678,0.116095,0.573355,0.15283,-0.185956,0.61054
3.294,0.274831,0.11591,0.573966,0.15284,-0.185403,0.611561
3.295,0.274984,0.115725,0.574578,0.152847,-0.184842,0.612574
3.296,0.275137,0.11554,0.575191,0.15285,-0.184273,0.61358
3.297,0.27529,0.115356,0.575805,0.15285,-0.183696,0.614578
3.298,0.275442,0.115173,0.57642,0.152846,-0.183111,0.61557
3.299,0.275595,0.11499,0.577036,0.152839,-0.182518,0.616553
3.3,0.275748,0.114808,0.577653,0.152828,-0.181916,0.61753
3.301,0.275901,0.114626,0.578271,0.152814,-0.181307,0.618499
3.302,0.276054,0.114445,0.57889,0.152797,-0.180689,0.619461
3.303,0.276207,0.114265,0.57951,0.152775,-0.180063,0.620416
3.304,0.276359,0.114085,0.580131,0.152751,-0.179429,0.621363
3.305,0.276512,0.113906,0.580753,0.152722,-0.178787,0.622304
3.306,0.276665,0.113727,0.581375,0.152691,-0.178137,0.623236
3.307,0.276817,0.113549,0.581999,0.152656,-0.177479,0.624162
3.308,0.27697,0.113372,0.582624,0.152617,-0.176812,0.62508
3.309,0.277123,0.113196,0.583249,0.152575,-0.176138,0.625991
3.31,0.277275,0.11302,0.583876,0.152529,-0.175455,0.626894
3.311,0.277428,0.112845,0.584503,0.15248,-0.174764,0.627791
3.312,0.27758,0.112671,0.585131,0.152427,-0.174065,0.628679
3.313,0.277733,0.112497,0.58576,0.152371,-0.173358,0.629561
3.314,0.277885,0.112324,0.58639,0.152311,-0.172643,0.630435
3.315,0.278037,0.112152,0.587021,0.152248,-0.17192,0.631302
3.316,0.278189,0.11198,0.587653,0.152181,-0.171188,0.632162
3.317,0.278342,0.111809,0.588286,0.152111,-0.170449,0.633014
3.318,0.278494,0.111639,0.588919,0.152037,-0.169701,0.63386
3.319,0.278646,0.11147,0.589553,0.15196,-0.168945,0.634697
3.32,0.278798,0.111301,0.590188,0.151879,-0.168182,0.635528
3.321,0.278949,0.111133,0.590824,0.151795,-0.16741,0.636351
3.322,0.279101,0.110966,0.591461,0.151707,-0.166629,0.637167
3.323,0.279253,0.1108,0.592099,0.151616,-0.165841,0.637975
3.324,0.279404,0.110635,0.592737,0.151521,-0.165045,0.638777
3.325,0.279556,0.11047,0.593376,0.151423,-0.16424,0.639571
3.326,0.279707,0.110306,0.594016,0.151321,-0.163428,0.640357
3.327,0.279858,0.110143,0.594657,0.151216,-0.162607,0.641137
3.328,0.28001,0.109981,0.595298,0.151108,-0.161778,0.641909
3.329,0.280161,0.10982,0.595941,0.150995,-0.160941,0.642673
3.33,0.280312,0.109659,0.596584,0.15088,-0.160096,0.643431
3.331,0.280462,0.109499,0.597228,0.15076,-0.159243,0.644181
3.332,0.280613,0.109341,0.597872,0.150638,-0.158382,0.644924
3.333,0.280764,0.109183,0.598517,0.150511,-0.157512,0.645659
3.334,0.280914,0.109026,0.599164,0.150382,-0.156635,0.646387
3.335,0.281064,0.108869,0.59981,0.150248,-0.155749,0.647108
3.336,0.281215,0.108714,0.600458,0.150112,-0.154855,0.647822
3.337,0.281365,0.10856,0.601106,0.149971,-0.153953,0.648528
3.338,0.281515,0.108406,0.601755,0.149828,-0.153043,0.649227
3.339,0.281664,0.108254,0.602404,0.14968,-0.152125,0.649919
3.34,0.281814,0.108102,0.603055,0.149529,-0.151199,0.650603
3.341,0.281963,0.107951,0.603706,0.149375,-0.150264,0.65128
3.342,0.282113,0.107801,0.604357,0.149217,-0.149322,0.65195
3.343,0.282262,0.107653,0.605009,0.149056,-0.148371,0.652612
3.344,0.282411,0.107505,0.605662,0.148891,-0.147413,0.653267
3.345,0.28256,0.107358,0.606316,0.148723,-0.146446,0.653915
3.346,0.282708,0.107212,0.60697,0.148551,-0.145471,0.654555
3.347,0.282857,0.107067,0.607625,0.148376,-0.144488,0.655189
3.348,0.283005,0.106923,0.608281,0.148197,-0.143496,0.655814
3.349,0.283153,0.10678,0.608937,0.148015,-0.142497,0.656433
3.35,0.283301,0.106638,0.609593,0.147829,-0.14149,0.657044
3.351,0.283449,0.106497,0.610251,0.14764,-0.140474,0.657648
3.352,0.283596,0.106357,0.610909,0.147447,-0.13945,0.658245
3.353,0.283744,0.106218,0.611567,0.147251,-0.138418,0.658834
3.354,0.283891,0.10608,0.612226,0.147051,-0.137378,0.659416
3.355,0.284038,0.105943,0.612886,0.146848,-0.13633,0.659991
3.356,0.284184,0.105807,0.613546,0.146641,-0.135274,0.660559
3.357,0.284331,0.105673,0.614207,0.146431,-0.13421,0.661119
3.358,0.284477,0.105539,0.614869,0.146217,-0.133137,0.661671
3.359,0.284623,0.105406,0.615531,0.146,-0.132057,0.662217
3.36,0.284769,0.105275,0.616193,0.145779,-0.130968,0.662755
3.361,0.284915,0.105144,0.616856,0.145554,-0.129871,0.663286
3.362,0.28506,0.105015,0.61752,0.145327,-0.128767,0.66381
3.363,0.285206,0.104887,0.618184,0.145095,-0.127653,0.664326
3.364,0.285351,0.10476,0.618848,0.144861,-0.126532,0.664835
3.365,0.285495,0.104634,0.619513,0.144622,-0.125403,0.665337
3.366,0.28564,0.104509,0.620179,0.14438,-0.124266,0.665831
3.367,0.285784,0.104385,0.620845,0.144135,-0.12312,0.666318
3.368,0.285928,0.104263,0.621512,0.143886,-0.121966,0.666798
3.369,0.286072,0.104141,0.622179,0.143634,-0.120805,0.66727
3.37,0.286215,0.104021,0.622846,0.143378,-0.119635,0.667735
3.371,0.286359,0.103902,0.623514,0.143119,-0.118457,0.668193
3.372,0.286502,0.103784,0.624183,0.142856,-0.117271,0.668644
3.373,0.286644,0.103668,0.624851,0.14259,-0.116077,0.669087
3.374,0.286787,0.103552,0.625521,0.14232,-0.114874,0.669523
3.375,0.286929,0.103438,0.62619,0.142046,-0.113664,0.669951
3.376,0.287071,0.103325,0.626861,0.14177,-0.112445,0.670373
3.377,0.287213,0.103213,0.627531,0.141489,-0.111218,0.670787
3.378,0.287354,0.103102,0.628202,0.141205,-0.109984,0.671193
3.379,0.287495,0.102993,0.628874,0.140918,-0.108741,0.671593
3.38,0.287636,0.102885,0.629545,0.140627,-0.10749,0.671985
3.381,0.287776,0.102778,0.630218,0.140333,-0.10623,0.67237
3.382,0.287916,0.102672,0.63089,0.140035,-0.104963,0.672747
3.383,0.288056,0.102568,0.631563,0.139734,-0.103688,0.673117
3.384,0.288196,0.102465,0.632236,0.139429,-0.102404,0.67348
3.385,0.288335,0.102363,0.63291,0.13912,-0.101112,0.673835
3.386,0.288474,0.102263,0.633584,0.138809,-0.0998125,0.674184
